c_Pais,Descripcion,code,Formato de codigo postal,Formato de Registro de Identidad Tributaria,Validacion del Registro de Identidad Tributaria,Agrupaciones,entry_status,create_date,create_by,update_date,update_by
210,Sint Maarten (parte holandesa),SXM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
211,"Siria, (la) Republica Arabe",SYR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
212,Somalia,SOM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
213,Sri Lanka,LKA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
214,Suazilandia,SWZ,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
215,Sudafrica,ZAF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
216,Sudan (el),SDN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
217,Sudan del Sur,SSD,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
218,Suecia,SWE,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
219,Suiza,CHE,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
220,Surinam,SUR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
221,Svalbard y Jan Mayen,SJM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
222,Tailandia,THA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
223,Taiwan (Provincia de China),TWN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
224,"Tanzania, Republica Unida de",TZA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
225,Tayikistan,TJK,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
226,Territorio Britanico del Oceano Indico (el),IOT,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
227,Territorios Australes Franceses (los),ATF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
228,Timor-Leste,TLS,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
229,Togo,TGO,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
230,Tokelau,TKL,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
231,Tonga,TON,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
232,Trinidad y Tobago,TTO,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
233,Tunez,TUN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
234,Turkmenistan,TKM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
235,Turquia,TUR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
236,Tuvalu,TUV,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
237,Ucrania,UKR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
238,Uganda,UGA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
239,Uruguay,URY,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
240,Uzbekistan,UZB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
241,Vanuatu,VUT,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
242,Santa Sede[Estado de la Ciudad del Vaticano] (la),VAT,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
243,"Venezuela, Republica Bolivariana de",VEN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
244,Viet Nam,VNM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
245,Wallis y Futuna,WLF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
246,Yemen,YEM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
247,Yibuti,DJI,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
248,Zambia,ZMB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
249,Zimbabue,ZWE,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
250,Paises no declarados,ZZZ,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
